### 2016-04-14 02:09:57.437920448 +0200 CEST Data Acquisition: ocho 

### [Ard], localTime(us), sincroTime(us), sensorTime(us), distance(mm), accX(g), accY(g), accZ(g), gyrX(gr/s), gyrY(gr/s), gyrZ(gr/s) 

[D], 9223372036854775,
[Ard], 9223372036854775, 0, 936402296, 422, -0.980225, 0.003662, -0.061279, 1.419847, 1.633588, 0.244275
[Ard], 9223372036854775, 0, 936441816, 423, -0.982666, 0.004150, -0.061035, 1.473282, 1.770992, 0.251908
[Ard], 9223372036854775, 0, 936481336, 423, -0.982178, 0.003662, -0.064697, 1.404580, 1.847328, 0.290076
[Ard], 9223372036854775, 0, 936520856, 422, -0.982910, -0.000732, -0.067871, 1.465649, 1.809160, 0.175573
[Ard], 9223372036854775, 0, 936560376, 423, -0.981201, 0.000000, -0.052246, 1.557252, 1.755725, 0.358779
[Ard], 9223372036854775, 0, 936599896, 422, -0.973633, 0.003662, -0.062744, 1.610687, 1.557252, 0.335878
[Ard], 9223372036854775, 0, 936639416, 423, -0.983154, 0.009033, -0.075195, 1.389313, 1.625954, 0.213740
[Ard], 9223372036854775, 0, 936678936, 423, -0.986816, 0.001709, -0.064453, 1.473282, 1.687023, 0.282443
[Ard], 9223372036854775, 0, 936718456, 422, -0.977783, 0.006104, -0.062744, 1.603053, 1.625954, 0.343511
[Ard], 9223372036854775, 0, 936757976, 423, -0.979980, 0.005127, -0.059814, 1.381679, 1.603053, 0.183206
[Ard], 9223372036854775, 0, 936797496, 422, -0.986816, 0.008545, -0.074219, 1.412214, 1.488550, 0.160305
[Ard], 9223372036854775, 0, 936837016, 423, -0.987549, 0.013916, -0.060791, 1.412214, 1.648855, 0.236641
[Ard], 9223372036854775, 0, 936876536, 422, -0.983154, 0.008301, -0.066895, 1.389313, 1.824427, 0.213740
[Ard], 9223372036854775, 0, 936916056, 422, -0.978027, 0.002930, -0.059814, 1.419847, 1.778626, 0.106870
[Ard], 9223372036854775, 0, 936955576, 423, -0.980957, 0.003418, -0.069824, 1.190840, 1.778626, 0.282443
[Ard], 9223372036854775, 0, 936995096, 422, -0.983154, 0.003418, -0.061523, 1.549618, 1.648855, 0.290076
[Ard], 9223372036854775, 0, 937034616, 423, -0.979248, 0.000000, -0.072510, 1.572519, 1.664122, 0.351145
[Ard], 9223372036854775, 0, 937074136, 422, -0.985352, 0.004639, -0.054932, 1.427481, 1.793893, 0.343511
[Ard], 9223372036854775, 0, 937113656, 423, -0.982910, 0.006836, -0.061523, 1.389313, 1.625954, 0.206107
[Ard], 9223372036854775, 0, 937153176, 423, -0.978271, 0.003662, -0.062012, 1.458015, 1.709924, 0.213740
[D], 9223372036854775,
[Ard], 9223372036854775, 0, 937232216, 423, -0.983643, 0.007080, -0.059570, 1.480916, 1.641221, 0.267176
[Ard], 9223372036854775, 0, 937271736, 426, -0.976318, 0.004883, -0.068359, 1.473282, 1.755725, 0.244275
[Ard], 9223372036854775, 0, 937311260, 427, -0.979980, 0.004639, -0.064209, 1.251908, 1.648855, 0.152672
[Ard], 9223372036854775, 0, 937192696, 422, 0.000027, 0.000000, -0.977539, 0.002441, -0.063232, 1.419847
[Ard], 9223372036854775, 0, 937192696, 422, 0.000027, 0.000000, -0.977539, 0.002441, -0.063232, 1.419847
[Ard], 9223372036854775, 0, 937444380, 423, -0.980713, 0.007080, -0.060791, 1.473282, 1.679389, 0.282443
[Ard], 9223372036854775, 3782793216, 108087, 2064646144, -0.000000, 40565104513796769900379733229568.000000, -0.000000, -158424088576.000000, -0.000000, 0.000000
[Ard], 9223372036854775, 0, 937483896, 423, -0.981445, 0.005615, -0.065430, 1.488550, 0.000000, -0.000000
[Ard], 9223372036854775, 1207435264, 27736035, 1879048192, -0.073730, 1.343511, 1.557252, 0.343511, -9454861561301246672896.000000, 0.000000
[Ard], 9223372036854775, 0, 49020, 15256, -822232.250000, 0.000000, -7178711417749504000.000000, 0.000000, 0.000000, 0.000027
[Ard], 9223372036854775, 0, 937760536, 423, -0.987305, -0.000000, 0.000000, 0.000000, 0.000000, 0.000000
[Ard], 9223372036854775, 0, 108343, 2065694720, -562962771214336.000000, 1.633582, 0.274809, 0.000000, -217228858212003679830016.000000, 0.000000
[Ard], 9223372036854775, 0, 937918616, 422, -0.982422, 0.008789, -0.064209, 1.450382, 1.503817, 0.198473
[Ard], 9223372036854775, 0, 937958136, 423, -0.984863, 0.003174, -0.056396, 1.412214, 1.480916, 0.320611
[Ard], 9223372036854775, 0, 937997656, 422, -0.980225, 0.005127, -0.069092, 1.541985, 1.740458, 0.152672
[Ard], 9223372036854775, 0, 938037176, 423, -0.979736, 0.011475, -0.062256, 1.480916, 1.671756, 0.274809
[D], 9223372036854775,
[Ard], 9223372036854775, 0, 938155736, 423, -0.986816, 0.008057, -0.069580, 1.587786, 1.717557, 0.282443
[Ard], 9223372036854775, 0, 938195256, 422, -0.980469, 0.005859, -0.062988, 1.458015, 1.732824, 0.473282
[Ard], 9223372036854775, 0, 938195256, 422, -0.980469, 0.005859, -0.062988, 1.458015, 1.732824, 0.473282
[Ard], 9223372036854775, 0, 941225684, 423, -0.983398, 0.004883, -0.059814, 1.526718, 1.931298, 0.274809
[Ard], 9223372036854775, 0, 941247940, 418, -0.979492, 0.009033, -0.064453, 1.480916, 1.770992, 0.274809
[Ard], 9223372036854775, 0, 941287460, 423, -0.982178, 0.000732, -0.062012, 1.404580, 1.748092, 0.229008
[Ard], 9223372036854775, 0, 941326980, 423, -0.980469, 0.011230, -0.066895, 1.503817, 1.610687, 0.351145
[Ard], 9223372036854775, 0, 941366500, 422, -0.984863, 0.004150, -0.068604, 1.465649, 1.778626, 0.198473
[Ard], 9223372036854775, 0, 941406020, 423, -0.985107, 0.000977, -0.062988, 1.419847, 1.595420, 0.290076
[Ard], 9223372036854775, 0, 941445540, 418, -0.982910, 0.005127, -0.062500, 1.419847, 1.732824, 0.297710
[Ard], 9223372036854775, 0, 941485068, 419, -0.987549, 0.007080, -0.059814, 1.419847, 1.763359, 0.305344
[Ard], 9223372036854775, 0, 941524580, 423, -0.986084, 0.005615, -0.061279, 1.511450, 1.725191, 0.282443
[Ard], 9223372036854775, 0, 941564100, 422, -0.979248, -0.000732, -0.065186, 1.473282, 1.633588, 0.259542
[Ard], 9223372036854775, 0, 941603620, 419, -0.982422, 0.012939, -0.067871, 1.488550, 1.793893, 0.351145
[Ard], 9223372036854775, 0, 941643140, 417, -0.988281, 0.006348, -0.070068, 1.374046, 1.709924, 0.297710
