### 2016-04-14 00:57:29.911112918 +0200 CEST Data Acquisition: siete 

### [Ard], localTime(us), sincroTime(us), sensorTime(us), distance(mm), accX(g), accY(g), accZ(g), gyrX(gr/s), gyrY(gr/s), gyrZ(gr/s) 

[D], 9223372036854775,
[Ard], 9223372036854775, 0, 881942172, 402, -0.986084, 0.001953, -0.059326, 1.167939, 1.633588, 0.122137
[Ard], 9223372036854775, 0, 881981692, 401, -0.979248, 0.001953, -0.073975, 1.374046, 1.809160, 0.335878
[Ard], 9223372036854775, 0, 882021212, 406, -0.983398, 0.002441, -0.071045, 1.503817, 1.786260, 0.305344
[Ard], 9223372036854775, 0, 882060732, 401, -0.976074, 0.007324, -0.062012, 1.305344, 1.580153, 0.137405
[Ard], 9223372036854775, 0, 882100252, 406, -0.973877, 0.008301, -0.058105, 1.396947, 1.610687, 0.206107
[Ard], 9223372036854775, 0, 882139772, 406, -0.979980, 0.003906, -0.063965, 1.419847, 1.725191, 0.305344
[Ard], 9223372036854775, 0, 882179292, 405, -0.984619, -0.000732, -0.063232, 1.496183, 1.702290, 0.343511
[Ard], 9223372036854775, 0, 882258332, 405, -0.981445, 0.005127, -0.063721, 1.396947, 1.763359, 0.251908
[D], 9223372036854775,
[Ard], 9223372036854775, 0, 1311489418, 327892936, -1625612847571189891072.000000, 176355868672.000000, 16851502657600418217984.000000, 0.000000, 0.000000, 0.000000
[Ard], 9223372036854775, 0, 882391452, 3179807125, 1.511450, 1.648855, 0.343511, 0.000000, 17021675540173978779862958080.000000, 0.000000
[Ard], 9223372036854775, 0, 882297852, 406, -0.985840, 0.004150, 0.000000, 0.000000, 0.000000, -7507642110751099349660101246976.000000
[Ard], 9223372036854775, 0, 882430972, 406, -0.984131, 0.010010, -0.000000, -2069272159322112.000000, 0.000000, 0.000000
[Ard], 9223372036854775, 0, 882430972, 406, -0.984131, 0.010010, -0.000000, -2069272159322112.000000, 0.000000, 0.000000
[Ard], 9223372036854775, 1, 12548832, 3926016, 0.000000, -51458666496.000000, 0.000000, 0.000000, -0.031250, 1.496183
[Ard], 9223372036854775, 0, 882510012, 405, -0.977539, 0.005859, -0.064209, 0.000000, -0.000000, 0.000000
[Ard], 9223372036854775, 0, 882747132, 2520030939, 0.000000, 0.000000, 0.000000, -26035554877440.000000, -0.000000, -49099.234375
[Ard], 9223372036854775, 0, 882786652, 405, -0.988037, 0.006348, -0.062256, 1.442748, 1.603053, 0.389313
[Ard], 9223372036854775, 0, 882865692, 411, -0.985596, 0.000977, -0.064453, 1.305344, 1.770992, 0.244275
[Ard], 9223372036854775, 3170893824, 1069451467, 1006632960, -0.000000, 0.000000, 0.000000, 0.000000, -7507719482003554685927282442240.000000, -0.000000
[Ard], 9223372036854775, 0, 276562108, 26621088, 0.000000, 0.000000, 0.000000, -0.001223, -0.000000, 0.000000
[Ard], 9223372036854775, 1070796032, 1070411995, 1044093538, 0.000000, 0.000000, 0.000000, 8589934592.000000, 0.000000, -0.000000
[Ard], 9223372036854775, 0, 883142332, 406, -0.983398, 0.007324, -0.065918, 1.488550, 1.656489, 0.259542
[Ard], 9223372036854775, 0, 883181852, 405, -0.982178, 0.005371, -0.069580, 1.404580, 1.587786, 0.129771
[Ard], 9223372036854775, 0, 883221372, 406, -0.976074, 0.003174, -0.062500, 1.305344, 1.709924, 0.305344
[Ard], 9223372036854775, 0, 883260892, 405, -0.983398, 0.007568, -0.067383, 1.427481, 1.709924, 0.297710
[Ard], 9223372036854775, 0, 883300412, 406, -0.985840, 0.004150, -0.069336, 1.458015, 1.580153, 0.259542
[Ard], 9223372036854775, 0, 883339932, 406, -0.981934, 0.004150, -0.066162, 1.442748, 1.541985, 0.183206
[Ard], 9223372036854775, 0, 883023772, 406, -0.981445, 0.005371, -0.063965, 1.442748, 1.839695, 0.267176
[Ard], 9223372036854775, 0, 883063292, 405, -0.979248, -0.001465, -0.062988, 0.000000, -0.000000, 0.000000
