### 2016-04-14 00:49:27.761116766 +0200 CEST Data Acquisition: seis 

### [Ard], localTime(us), sincroTime(us), sensorTime(us), distance(mm), accX(g), accY(g), accZ(g), gyrX(gr/s), gyrY(gr/s), gyrZ(gr/s) 

[D], 9223372036854775,
[Ard], 9223372036854775, 0, 400419104, 418, -0.982422, 0.007080, -0.063965, 1.351145, 1.625954, 0.312977
[Ard], 9223372036854775, 0, 400458624, 419, -0.984375, 0.005371, -0.068848, 1.473282, 1.725191, 0.282443
[Ard], 9223372036854775, 0, 400498144, 418, -0.981934, 0.001953, -0.068115, 1.419847, 1.717557, 0.251908
[Ard], 9223372036854775, 0, 400537664, 419, -0.980225, 0.003906, -0.066406, 1.206107, 1.610687, 0.351145
[Ard], 9223372036854775, 0, 400577184, 423, -0.980713, -0.000244, -0.064209, 1.396947, 1.717557, 0.297710
[Ard], 9223372036854775, 0, 400616704, 418, -0.983154, 0.006104, -0.067383, 1.381679, 1.595420, 0.427481
[Ard], 9223372036854775, 0, 400656224, 423, -0.981445, 0.000000, -0.066650, 1.259542, 1.641221, 0.145038
[Ard], 9223372036854775, 0, 400695744, 417, -0.981201, 0.004883, -0.067139, 1.442748, 1.648855, 0.274809
[Ard], 9223372036854775, 0, 400735264, 423, -0.976562, 0.007812, -0.070312, 1.427481, 1.687023, 0.236641
[Ard], 9223372036854775, 0, 400774784, 423, -0.983154, 0.001709, -0.058594, 1.366412, 1.755725, 0.290076
[Ard], 9223372036854775, 0, 400814304, 418, -0.978271, 0.004883, -0.069824, 1.244275, 1.656489, 0.381679
[Ard], 9223372036854775, 0, 400853824, 419, -0.982178, 0.002441, -0.067383, 1.450382, 1.725191, 0.152672
[Ard], 9223372036854775, 0, 400893344, 417, -0.983398, 0.001709, -0.072021, 1.465649, 1.687023, 0.251908
[Ard], 9223372036854775, 0, 400932868, 419, -0.982178, 0.005615, -0.070068, 1.496183, 1.633588, 0.236641
[Ard], 9223372036854775, 0, 400972384, 419, -0.983887, 0.003662, -0.056641, 1.465649, 1.641221, 0.412214
[Ard], 9223372036854775, 0, 401011904, 418, -0.981201, 0.004883, -0.064453, 1.320611, 1.725191, 0.328244
[Ard], 9223372036854775, 0, 401051424, 423, -0.975342, 0.008789, -0.069092, 1.374046, 1.755725, 0.213740
[Ard], 9223372036854775, 0, 401090944, 422, -0.985840, 0.000732, -0.068604, 1.450382, 1.671756, 0.206107
[Ard], 9223372036854775, 0, 401130464, 423, -0.982666, 0.006836, -0.061768, 1.351145, 1.755725, 0.175573
[Ard], 9223372036854775, 0, 401169984, 423, -0.975586, 0.001465, -0.073486, 1.389313, 1.671756, 0.335878
[Ard], 9223372036854775, 0, 401209504, 422, -0.986572, 0.000000, -0.062988, 1.351145, 1.641221, 0.244275
[Ard], 9223372036854775, 0, 401249024, 423, -0.981201, 0.010254, -0.062744, 1.412214, 1.648855, 0.343511
[Ard], 9223372036854775, 0, 401288544, 422, -0.977539, 0.007080, -0.066895, 1.473282, 1.610687, 0.244275
[Ard], 9223372036854775, 0, 401328064, 423, -0.981445, 0.007812, -0.068115, 1.458015, 1.770992, 0.213740
[Ard], 9223372036854775, 0, 401367584, 423, -0.981689, 0.001953, -0.065674, 1.519084, 1.839695, 0.305344
[Ard], 9223372036854775, 0, 401407104, 422, -0.982910, 0.001709, -0.066406, 1.290076, 1.664122, 0.137405
[Ard], 9223372036854775, 0, 401446624, 423, -0.983643, 0.005859, -0.067871, 1.564885, 1.740458, 0.152672
[Ard], 9223372036854775, 0, 401486144, 422, -0.985840, 0.004639, 0.000000, 0.000000, -0.000000, 0.000000
[D], 9223372036854775,
[Ard], 9223372036854775, 0, 401525664, 423, -0.985596, 0.002441, -0.067627, 1.381679, 1.625954, 0.129771
[Ard], 9223372036854775, 0, 401486144, 422, -0.985840, 0.004639, 0.000000, 0.000000, -0.000000, 0.000000
[Ard], 9223372036854775, 0, 401658784, 423, -0.982422, 0.002441, -0.072754, 1.412214, 1.633588, 0.381679
[Ard], 9223372036854775, 0, 401698304, 422, -0.988770, 0.007812, -0.079834, 1.343511, 1.740458, 0.274809
[Ard], 9223372036854775, 0, 327878752, 3376955346, 0.000000, 0.000000, 0.000000, 0.000000, -0.981445, 0.002441
[Ard], 9223372036854775, 27662322, 805306368, 49018, -0.000000, -275739205608349761770679697408.000000, 0.000000, -0.000000, 0.000000, 0.000000
[Ard], 9223372036854775, 0, 15980416, 1910505472, 0.000000, 2.000000, 0.000000, -0.000000, -0.000021, 0.000000
[Ard], 9223372036854775, 0, 401935424, 423, -0.981201, 0.000000, -0.072754, 1.442748, 1.618321, 0.274809
[Ard], 9223372036854775, 0, 401974944, 2147498919, 0.000000, 0.000000, 34668875350016.000000, 0.000000, 0.000000, 0.000000
[Ard], 9223372036854775, 256, 3212509184, 3053453312, -77962129338133294683783168.000000, -0.000000, 0.000000, 36893488147419103232.000000, -0.000000, -0.000000
[Ard], 9223372036854775, 0, 402093504, 418, -0.980469, 0.004883, -0.062988, 1.335878, 1.519084, 0.000000
[Ard], 9223372036854775, 0, 402133024, 423, -0.987061, 0.005127, -0.000000, 0.000000, -0.000000, 0.000000
[Ard], 9223372036854775, 0, 402212064, 2147499024, -0.000000, -949465038325776858854862379548672.000000, -1625613410521143312384.000000, 0.000000, 0.000000, 0.000000
[D], 9223372036854775,
[Ard], 9223372036854775, 27656192, 1610612736, 49019, -0.000000, 0.000000, 0.000000, 0.000000, -0.000000, -0.000000
[Ard], 9223372036854775, 0, 407947076, 423, -0.984863, 0.004639, -0.066162, 1.343511, 1.396947, 0.083969
[Ard], 9223372036854775, 0, 407969308, 423, -0.981201, 0.009033, -0.061279, 1.328244, 1.679389, 0.229008
[Ard], 9223372036854775, 0, 408008828, 422, -0.976318, 0.005859, -0.070557, 1.496183, 1.694656, 0.213740
[Ard], 9223372036854775, 0, 408048348, 423, -0.978516, 0.003906, -0.072998, 1.480916, 1.557252, 0.152672
[Ard], 9223372036854775, 0, 408087868, 422, -0.978516, 0.005859, -0.071045, 1.419847, 1.534351, 0.381679
[Ard], 9223372036854775, 0, 408127388, 423, -0.979248, 0.003418, -0.063232, 1.435115, 1.610687, 0.198473
[Ard], 9223372036854775, 0, 408166908, 422, -0.978760, 0.003174, -0.060547, 1.587786, 1.610687, 0.160305
[Ard], 9223372036854775, 0, 408206428, 422, -0.981934, -0.002686, -0.066406, 1.442748, 1.725191, 0.267176
[Ard], 9223372036854775, 0, 408245948, 423, -0.980713, 0.009277, -0.079834, 1.312977, 1.519084, 0.274809
[Ard], 9223372036854775, 0, 408285468, 422, -0.980957, 0.006104, -0.070801, 1.412214, 1.801527, 0.328244
[Ard], 9223372036854775, 0, 408324988, 423, -0.983887, 0.004639, -0.066650, 1.442748, 1.702290, 0.229008
[Ard], 9223372036854775, 0, 408364508, 422, -0.979004, 0.003906, -0.068359, 1.511450, 1.549618, 0.175573
[Ard], 9223372036854775, 0, 408404028, 423, -0.976318, 0.000000, -0.069824, 1.389313, 1.633588, 0.282443
[Ard], 9223372036854775, 0, 408443548, 423, -0.981445, 0.004639, -0.072021, 1.526718, 1.664122, 0.274809
[Ard], 9223372036854775, 0, 408483068, 422, -0.977783, 0.003906, -0.068359, 1.595420, 1.885496, 0.290076
[Ard], 9223372036854775, 0, 408522588, 423, -0.988281, 0.000000, -0.065918, 1.511450, 1.648855, 0.229008
[Ard], 9223372036854775, 0, 408562108, 422, -0.977295, 0.004883, -0.064453, 1.572519, 1.580153, 0.267176
[Ard], 9223372036854775, 0, 408601628, 423, -0.977295, 0.002686, -0.065186, 1.290076, 1.694656, 0.068702
