### 2016-04-14 00:38:39.49194172 +0200 CEST Data Acquisition: cuatro 

### [Ard], localTime(us), sincroTime(us), sensorTime(us), distance(mm), accX(g), accY(g), accZ(g), gyrX(gr/s), gyrY(gr/s), gyrZ(gr/s) 

[D], 9223372036854775,
[Ard], 9223372036854775, 0, 4076368076, 67, -0.982178, 0.010010, -0.071045, 1.404580, 1.748092, 0.099237
[Ard], 9223372036854775, 0, 4076407596, 68, -0.980713, 0.002930, -0.070557, 1.396947, 1.641221, 0.129771
[Ard], 9223372036854775, 0, 4076447116, 67, -0.981934, 0.005127, -0.068115, 1.404580, 1.625954, 0.328244
[Ard], 9223372036854775, 0, 4076486636, 68, -0.981934, 0.001953, -0.065918, 1.389313, 1.564885, 0.328244
[Ard], 9223372036854775, 0, 4076526156, 68, -0.983643, 0.006592, -0.067139, 1.435115, 1.564885, 0.335878
[Ard], 9223372036854775, 0, 4076565676, 67, -0.981201, 0.014404, -0.062744, 1.282443, 1.557252, 0.274809
[Ard], 9223372036854775, 0, 4076605196, 63, -0.980957, -0.001221, -0.064209, 1.389313, 1.931298, 0.351145
[Ard], 9223372036854775, 0, 4076644716, 62, -0.983398, 0.005859, -0.062744, 1.442748, 1.885496, 0.351145
[Ard], 9223372036854775, 0, 4076684236, 68, -0.979736, 0.005615, -0.064209, 1.396947, 1.702290, 0.297710
[Ard], 9223372036854775, 0, 4076723756, 63, -0.978271, 0.008057, -0.055908, 1.412214, 1.740458, 0.290076
[Ard], 9223372036854775, 0, 4076763276, 67, -0.983887, 0.008545, -0.069336, 1.297710, 1.610687, 0.404580
[Ard], 9223372036854775, 0, 4076802796, 68, -0.976074, 0.002686, -0.062012, 1.564885, 1.648855, 0.267176
[Ard], 9223372036854775, 0, 4076842316, 62, -0.983887, 0.003662, -0.063477, 1.366412, 1.694656, 0.175573
[Ard], 9223372036854775, 0, 4076881836, 63, -0.985107, 0.004639, -0.064941, 1.297710, 1.641221, 0.282443
[Ard], 9223372036854775, 0, 4076921356, 63, -0.979980, 0.005859, -0.072510, 1.396947, 1.740458, 0.320611
[Ard], 9223372036854775, 0, 4076960876, 63, -0.982910, 0.007080, -0.072266, 1.458015, 1.709924, 0.396947
[Ard], 9223372036854775, 0, 4077000396, 68, -0.981689, 0.007324, -0.068604, 1.519084, 1.679389, 0.404580
[Ard], 9223372036854775, 0, 4077039916, 62, -0.977783, 0.009277, -0.066162, 1.557252, 1.656489, 0.404580
[Ard], 9223372036854775, 0, 4077079436, 63, -0.980225, 0.002441, -0.059814, 1.587786, 1.618321, 0.259542
[Ard], 9223372036854775, 0, 4077118956, 62, -0.985840, 0.005859, -0.063721, 1.580153, 1.725191, 0.267176
[Ard], 9223372036854775, 0, 4077158476, 63, -0.986816, 0.003662, -0.067139, 1.549618, 1.572519, 0.274809
[Ard], 9223372036854775, 0, 4077197996, 63, -0.982666, 0.010010, -0.056641, 1.290076, 1.725191, 0.320611
[Ard], 9223372036854775, 0, 4077237516, 62, -0.981445, 0.009766, -0.061035, 1.358779, 1.595420, 0.251908
[Ard], 9223372036854775, 0, 4077277036, 63, -0.981445, 0.000977, -0.070312, 1.343511, 1.755725, 0.458015
[Ard], 9223372036854775, 0, 4077316556, 62, -0.981201, 0.009766, -0.067383, 1.458015, 1.511450, 0.206107
[Ard], 9223372036854775, 0, 4077356076, 68, -0.978027, 0.005371, -0.069092, 1.503817, 1.717557, 0.320611
[Ard], 9223372036854775, 0, 4077395596, 68, -0.984131, 0.006592, -0.066406, 1.633588, 1.488550, 0.206107
[Ard], 9223372036854775, 0, 4077435116, 62, -0.980957, 0.006592, -0.069092, 1.664122, 1.458015, 0.381679
[Ard], 9223372036854775, 0, 4077474636, 63, -0.979736, 0.005859, -0.070557, 1.511450, 1.709924, 0.343511
[Ard], 9223372036854775, 0, 4077514156, 62, -0.979492, 0.003662, -0.068359, 1.641221, 1.694656, 0.267176
[Ard], 9223372036854775, 0, 4077553684, 63, -0.980957, 0.010498, -0.059814, 1.305344, 1.786260, 0.274809
[Ard], 9223372036854775, 0, 4077593196, 63, -0.983398, 0.003174, -0.065918, 1.358779, 1.557252, 0.221374
[Ard], 9223372036854775, 0, 4077632716, 62, -0.980469, 0.009277, -0.071045, 1.381679, 1.702290, 0.312977
[Ard], 9223372036854775, 0, 4077672236, 63, -0.987549, 0.010986, -0.068604, 1.282443, 1.687023, 0.083969
[Ard], 9223372036854775, 0, 4077711756, 62, -0.981934, 0.003662, -0.064941, 1.221374, 1.709924, 0.236641
[Ard], 9223372036854775, 0, 4077751276, 63, -0.984375, 0.004639, -0.059814, 1.465649, 1.519084, 0.167939
[Ard], 9223372036854775, 0, 4077790796, 63, -0.984131, 0.006592, -0.062988, 1.282443, 1.755725, 0.251908
[Ard], 9223372036854775, 0, 4077830316, 62, -0.983643, 0.004395, -0.061768, 1.320611, 1.648855, 0.183206
[Ard], 9223372036854775, 0, 4077869836, 63, -0.977783, 0.006836, -0.063965, 1.580153, 1.679389, 0.190840
[Ard], 9223372036854775, 0, 4077909356, 62, -0.981934, 0.004639, -0.072510, 1.251908, 1.709924, 0.129771
[Ard], 9223372036854775, 0, 4077948876, 63, -0.984375, 0.012451, -0.062744, 1.473282, 1.633588, 0.267176
[Ard], 9223372036854775, 0, 4077988396, 68, -0.978760, 0.002930, -0.072266, 1.412214, 1.625954, 0.259542
[Ard], 9223372036854775, 0, 4078027916, 67, -0.980225, 0.004639, -0.076416, 1.389313, 1.725191, 0.206107
[Ard], 9223372036854775, 0, 4078067436, 63, -0.984619, 0.005371, -0.069336, 1.557252, 1.664122, 0.259542
[Ard], 9223372036854775, 0, 4078106956, 62, -0.977783, 0.006592, -0.064453, 1.358779, 1.679389, 0.213740
[Ard], 9223372036854775, 0, 4078146476, 63, -0.983643, 0.005127, -0.068359, 1.419847, 1.671756, 0.328244
[Ard], 9223372036854775, 0, 4078185996, 68, -0.982422, 0.009033, -0.060303, 1.541985, 1.503817, 0.145038
[Ard], 9223372036854775, 0, 4078225516, 63, -0.977295, 0.004150, -0.067383, 1.412214, 1.625954, 0.412214
[Ard], 9223372036854775, 0, 4078265036, 63, -0.982422, 0.001953, -0.071777, 1.343511, 1.625954, 0.328244
[Ard], 9223372036854775, 0, 4078304556, 67, -0.977783, 0.000244, -0.076904, 1.374046, 1.595420, 0.022901
[Ard], 9223372036854775, 0, 4078344076, 63, -0.979980, 0.005615, -0.069824, 1.381679, 1.786260, 0.305344
[Ard], 9223372036854775, 0, 4078383596, 62, -0.980469, 0.005615, -0.065674, 1.267176, 1.564885, 0.419847
[D], 9223372036854775,
[Ard], 9223372036854775, 0, 2407582796, 3098278077, -8930376810496.000000, -0.000021, 0.000000, 0.000000, 0.474800, 0.000000
